4, 40
5, 40
6, 40
7, 40
1, 42
2, 42
3, 42
4, 42
5, 42
6, 42
7, 42
8, 42
1, 44
2, 44
3, 44
4, 44
5, 44
6, 44
7, 44
8, 44
1, 46
2, 46
3, 46
4, 46
5, 46
6, 46
7, 46
8, 46
9, 46
1, 48
2, 48
3, 48
4, 48
5, 48
6, 48
7, 48
8, 48
9, 48
1, 50
2, 50
3, 50
4, 50
5, 50
6, 50
7, 50
8, 50
1, 52
2, 52
3, 52
4, 52
5, 52
6, 52
7, 52
8, 52
9, 52
1, 54
2, 54
3, 54
4, 54
5, 54
6, 54
7, 54
8, 54
9, 54
1, 56
2, 56
3, 56
4, 56
5, 56
6, 56
7, 56
8, 56
9, 56
10, 56
11, 56
1, 2
2, 2
3, 2
4, 2
5, 2
6, 2
7, 2
1, 4
2, 4
3, 4
4, 4
5, 4
6, 4
1, 6
2, 6
3, 6
4, 6
5, 6
6, 6
1, 8
2, 8
3, 8
4, 8
5, 8
6, 8
1, 10
2, 10
3, 10
4, 10
5, 10
6, 10
1, 12
2, 12
3, 12
4, 12
5, 12
1, 14
2, 14
3, 14
4, 14
5, 14
6, 14
1, 16
2, 16
3, 16
4, 16
5, 16
6, 16
1, 18
2, 18
3, 18
4, 18
5, 18
6, 18
1, 20
2, 20
3, 20
4, 20
5, 20
6, 20
1, 22
2, 22
3, 22
4, 22
5, 22
6, 22
7, 22
1, 24
2, 24
3, 24
4, 24
5, 24
6, 24
7, 24
1, 26
2, 26
3, 26
4, 26
5, 26
6, 26
7, 26
1, 28
2, 28
3, 28
4, 28
5, 28
6, 28
7, 28
1, 30
2, 30
3, 30
4, 30
5, 30
6, 30
1, 32
2, 32
3, 32
4, 32
5, 32
6, 32
7, 32
1, 34
2, 34
3, 34
4, 34
5, 34
6, 34
7, 34
1, 36
2, 36
3, 36
4, 36
5, 36
6, 36
7, 36
1, 38
2, 38
3, 38
4, 38
5, 38
6, 38
7, 38
1, 40
2, 40
3, 40
4, 40
5, 40
6, 40
7, 40
1, 42
2, 42
3, 42
4, 42
5, 42
6, 42
7, 42
1, 44
2, 44
3, 44
4, 44
5, 44
6, 44
7, 44
8, 44
1, 46
2, 46
3, 46
4, 46
5, 46
6, 46
7, 46
8, 46
9, 46
1, 48
2, 48
3, 48
4, 48
5, 48
6, 48
7, 48
8, 48
9, 48
1, 50
2, 50
3, 50
4, 50
5, 50
6, 50
7, 50
8, 50
9, 50
1, 52
2, 52
3, 52
4, 52
5, 52
6, 52
7, 52
8, 52
1, 54
2, 54
3, 54
4, 54
5, 54
6, 54
1, 56
2, 56
3, 56
4, 56
5, 56
6, 56
7, 56
8, 56
9, 56
10, 56
1, 58
2, 58
3, 58
4, 58
5, 58
6, 58
7, 58
8, 58
9, 58
10, 58
1, 60
2, 60
3, 60
4, 60
5, 60
6, 60
7, 60
8, 60
9, 60
10, 60
11, 60
1, 62
2, 62
3, 62
4, 62
5, 62
6, 62
7, 62
8, 62
9, 62
10, 62
11, 62
1, 64
2, 64
3, 64
4, 64
5, 64
6, 64
7, 64
8, 64
9, 64
10, 64
11, 64
1, 3
2, 3
3, 3
4, 3
5, 3
6, 3
7, 3
1, 5
2, 5
3, 5
4, 5
5, 5
6, 5
1, 7
2, 7
3, 7
4, 7
5, 7
6, 7
1, 9
2, 9
3, 9
4, 9
5, 9
1, 11
2, 11
3, 11
4, 11
5, 11
6, 11
1, 13
2, 13
3, 13
4, 13
5, 13
6, 13
1, 15
2, 15
3, 15
4, 15
5, 15
6, 15
1, 17
2, 17
3, 17
4, 17
5, 17
6, 17
1, 19
2, 19
3, 19
4, 19
5, 19
6, 19
1, 21
2, 21
3, 21
4, 21
5, 21
6, 21
1, 23
2, 23
3, 23
4, 23
5, 23
6, 23
1, 25
2, 25
3, 25
4, 25
5, 25
6, 25
1, 27
2, 27
3, 27
4, 27
5, 27
6, 27
1, 29
2, 29
3, 29
4, 29
5, 29
6, 29
1, 31
2, 31
3, 31
4, 31
5, 31
6, 31
7, 31
1, 33
2, 33
3, 33
4, 33
5, 33
6, 33
1, 35
2, 35
3, 35
4, 35
5, 35
6, 35
7, 35
1, 37
2, 37
3, 37
4, 37
5, 37
6, 37
7, 37
1, 39
2, 39
3, 39
4, 39
5, 39
6, 39
7, 39
8, 39
1, 41
2, 41
3, 41
4, 41
5, 41
6, 41
7, 41
8, 41
1, 43
2, 43
3, 43
4, 43
5, 43
6, 43
7, 43
8, 43
1, 45
2, 45
3, 45
4, 45
5, 45
6, 45
7, 45
8, 45
1, 47
2, 47
3, 47
4, 47
5, 47
6, 47
7, 47
8, 47
9, 47
1, 49
2, 49
3, 49
4, 49
5, 49
6, 49
7, 49
8, 49
9, 49
10, 49
1, 51
2, 51
3, 51
4, 51
5, 51
6, 51
7, 51
8, 51
9, 51
10, 51
11, 51
1, 53
2, 53
3, 53
4, 53
5, 53
6, 53
7, 53
8, 53
9, 53
10, 53
11, 53
1, 55
2, 55
3, 55
4, 55
5, 55
6, 55
7, 55
8, 55
9, 55
1, 57
2, 57
3, 57
4, 57
5, 57
6, 57
7, 57
8, 57
9, 57
10, 57
11, 57
1, 59
2, 59
3, 59
4, 59
5, 59
6, 59
7, 59
8, 59
9, 59
10, 59
11, 59
1, 3
2, 3
3, 3
4, 3
5, 3
6, 3
1, 5
2, 5
3, 5
4, 5
5, 5
6, 5
1, 7
2, 7
3, 7
4, 7
5, 7
6, 7
1, 9
2, 9
3, 9
4, 9
5, 9
6, 9
1, 11
2, 11
3, 11
4, 11
5, 11
6, 11
7, 11
1, 13
2, 13
3, 13
4, 13
5, 13
6, 13
1, 15
2, 15
3, 15
4, 15
5, 15
1, 17
2, 17
3, 17
4, 17
5, 17
6, 17
1, 19
2, 19
3, 19
4, 19
5, 19
6, 19
1, 21
2, 21
3, 21
4, 21
5, 21
6, 21
1, 23
2, 23
3, 23
4, 23
5, 23
6, 23
1, 25
2, 25
3, 25
4, 25
5, 25
6, 25
1, 27
2, 27
3, 27
4, 27
5, 27
6, 27
1, 29
2, 29
3, 29
4, 29
5, 29
6, 29
1, 31
2, 31
3, 31
4, 31
5, 31
6, 31
7, 31
1, 33
2, 33
3, 33
4, 33
5, 33
6, 33
7, 33
1, 35
2, 35
3, 35
4, 35
5, 35
6, 35
7, 35
1, 37
2, 37
3, 37
4, 37
5, 37
6, 37
7, 37
1, 39
2, 39
3, 39
4, 39
5, 39
6, 39
7, 39
1, 41
2, 41
3, 41
4, 41
5, 41
6, 41
7, 41
8, 41
9, 41
1, 43
2, 43
3, 43
4, 43
5, 43
6, 43
7, 43
8, 43
9, 43
1, 45
2, 45
3, 45
4, 45
5, 45
6, 45
7, 45
8, 45
1, 47
2, 47
3, 47
4, 47
5, 47
6, 47
7, 47
8, 47
1, 49
2, 49
3, 49
4, 49
5, 49
6, 49
7, 49
8, 49
9, 49
1, 51
2, 51
3, 51
4, 51
5, 51
6, 51
7, 51
1, 53
2, 53
3, 53
4, 53
5, 53
6, 53
7, 53
8, 53
9, 53
1, 55
2, 55
3, 55
4, 55
5, 55
6, 55
7, 55
8, 55
9, 55
10, 55
1, 57
2, 57
3, 57
4, 57
5, 57
6, 57
7, 57
8, 57
9, 57
1, 59
2, 59
3, 59
4, 59
5, 59
6, 59
7, 59
8, 59
1, 61
2, 61
3, 61
4, 61
5, 61
6, 61
7, 61
8, 61
1, 63
2, 63
3, 63
4, 63
5, 63
6, 63
7, 63
8, 63
9, 63
1, 65
2, 65
3, 65
4, 65
5, 65
6, 65
7, 65
8, 65
1, 67
2, 67
3, 67
4, 67
5, 67
6, 67
7, 67
8, 67
9, 67
1, 69
2, 69
3, 69
4, 69
5, 69
6, 69
7, 69
8, 69
9, 69
10, 69
1, 71
2, 71
3, 71
4, 71
5, 71
6, 71
7, 71
8, 71
1, 73
2, 73
3, 73
4, 73
5, 73
6, 73
7, 73
8, 73
9, 73
10, 73
11, 73
1, 75
2, 75
3, 75
4, 75
5, 75
6, 75
7, 75
8, 75
9, 75
10, 75
11, 75
1, 77
2, 77
3, 77
4, 77
5, 77
6, 77
7, 77
8, 77
9, 77
10, 77
11, 77
1, 79
2, 79
3, 79
4, 79
5, 79
6, 79
7, 79
8, 79
9, 79
10, 79
11, 79
1, 81
2, 81
3, 81
4, 81
5, 81
6, 81
7, 81
8, 81
9, 81
1, 2
2, 2
3, 2
4, 2
5, 2
6, 2
1, 4
2, 4
3, 4
4, 4
5, 4
6, 4
1, 6
2, 6
3, 6
4, 6
5, 6
6, 6
7, 6
1, 8
2, 8
3, 8
4, 8
5, 8
6, 8
1, 10
2, 10
3, 10
4, 10
5, 10
6, 10
1, 12
2, 12
3, 12
4, 12
5, 12
6, 12
1, 14
2, 14
3, 14
4, 14
5, 14
6, 14
1, 16
2, 16
3, 16
4, 16
5, 16
6, 16
1, 18
2, 18
3, 18
4, 18
5, 18
6, 18
1, 20
2, 20
3, 20
4, 20
5, 20
6, 20
1, 22
2, 22
3, 22
4, 22
5, 22
1, 24
2, 24
3, 24
4, 24
5, 24
6, 24
1, 26
2, 26
3, 26
4, 26
5, 26
6, 26
1, 28
2, 28
3, 28
4, 28
5, 28
6, 28
1, 30
2, 30
3, 30
4, 30
5, 30
6, 30
7, 30
1, 32
2, 32
3, 32
4, 32
5, 32
6, 32
7, 32
1, 34
2, 34
3, 34
4, 34
5, 34
6, 34
7, 34
8, 34
1, 36
2, 36
3, 36
4, 36
5, 36
6, 36
7, 36
8, 36
9, 36
1, 38
2, 38
3, 38
4, 38
5, 38
6, 38
7, 38
8, 38
9, 38
10, 38
1, 40
2, 40
3, 40
4, 40
5, 40
6, 40
7, 40
8, 40
1, 42
2, 42
3, 42
4, 42
5, 42
6, 42
7, 42
1, 44
2, 44
3, 44
4, 44
5, 44
6, 44
7, 44
1, 46
2, 46
3, 46
4, 46
5, 46
6, 46
7, 46
1, 48
2, 48
3, 48
4, 48
5, 48
6, 48
7, 48
8, 48
1, 50
2, 50
3, 50
4, 50
5, 50
6, 50
7, 50
8, 50
1, 52
2, 52
3, 52
4, 52
5, 52
6, 52
7, 52
1, 54
2, 54
3, 54
4, 54
5, 54
6, 54
7, 54
8, 54
1, 56
2, 56
3, 56
4, 56
5, 56
6, 56
7, 56
8, 56
9, 56
1, 58
2, 58
3, 58
4, 58
5, 58
6, 58
7, 58
8, 58
9, 58
10, 58
1, 60
2, 60
3, 60
4, 60
5, 60
6, 60
7, 60
8, 60
9, 60
10, 60
11, 60
1, 62
2, 62
3, 62
4, 62
5, 62
6, 62
7, 62
8, 62
9, 62
10, 62
11, 62
1, 2
2, 2
3, 2
4, 2
5, 2
6, 2
1, 4
2, 4
3, 4
4, 4
5, 4
6, 4
1, 6
2, 6
3, 6
4, 6
5, 6
6, 6
1, 8
2, 8
3, 8
4, 8
5, 8
6, 8
1, 10
2, 10
3, 10
4, 10
5, 10
6, 10
7, 10
1, 12
2, 12
3, 12
4, 12
5, 12
6, 12
1, 14
2, 14
3, 14
4, 14
5, 14
6, 14
1, 16
2, 16
3, 16
4, 16
5, 16
6, 16
7, 16
1, 18
2, 18
3, 18
4, 18
5, 18
6, 18
7, 18
1, 20
2, 20
3, 20
4, 20
5, 20
6, 20
1, 22
2, 22
3, 22
4, 22
5, 22
6, 22
1, 24
2, 24
3, 24
4, 24
5, 24
6, 24
1, 26
2, 26
3, 26
4, 26
5, 26
6, 26
1, 28
2, 28
3, 28
4, 28
5, 28
6, 28
1, 30
2, 30
3, 30
4, 30
5, 30
6, 30
1, 32
2, 32
3, 32
4, 32
5, 32
6, 32
7, 32
1, 34
2, 34
3, 34
4, 34
5, 34
6, 34
1, 36
2, 36
3, 36
4, 36
5, 36
6, 36
7, 36
1, 38
2, 38
3, 38
4, 38
5, 38
6, 38
7, 38
1, 40
2, 40
3, 40
4, 40
5, 40
6, 40
7, 40
1, 42
2, 42
3, 42
4, 42
5, 42
6, 42
7, 42
1, 44
2, 44
3, 44
4, 44
5, 44
6, 44
1, 46
2, 46
3, 46
4, 46
5, 46
6, 46
7, 46
1, 48
2, 48
3, 48
4, 48
5, 48
6, 48
7, 48
8, 48
1, 50
2, 50
3, 50
4, 50
5, 50
6, 50
7, 50
8, 50
9, 50
1, 52
2, 52
3, 52
4, 52
5, 52
6, 52
7, 52
8, 52
9, 52
10, 52
1, 54
2, 54
3, 54
4, 54
5, 54
6, 54
7, 54
8, 54
9, 54
10, 54
1, 56
2, 56
3, 56
4, 56
5, 56
6, 56
7, 56
8, 56
9, 56
10, 56
1, 58
2, 58
3, 58
4, 58
5, 58
6, 58
7, 58
8, 58
9, 58
1, 60
2, 60
3, 60
4, 60
5, 60
6, 60
7, 60
8, 60
9, 60
10, 60
1, 62
2, 62
3, 62
4, 62
5, 62
6, 62
7, 62
8, 62
9, 62
10, 62
11, 62
1, 64
2, 64
3, 64
4, 64
5, 64
6, 64
7, 64
8, 64
9, 64
10, 64
1, 66
2, 66
3, 66
4, 66
5, 66
6, 66
7, 66
8, 66
9, 66
10, 66
11, 66
1, 68
2, 68
3, 68
4, 68
5, 68
6, 68
7, 68
8, 68
9, 68
10, 68
11, 68
1, 70
2, 70
3, 70
4, 70
5, 70
6, 70
7, 70
8, 70
9, 70
10, 70
11, 70
1, 3
2, 3
3, 3
4, 3
5, 3
6, 3
1, 5
2, 5
3, 5
4, 5
5, 5
6, 5
1, 7
2, 7
3, 7
4, 7
5, 7
1, 9
2, 9
3, 9
4, 9
5, 9
6, 9
1, 11
2, 11
3, 11
4, 11
5, 11
6, 11
1, 13
2, 13
3, 13
4, 13
5, 13
1, 15
2, 15
3, 15
4, 15
5, 15
6, 15
1, 17
2, 17
3, 17
4, 17
5, 17
6, 17
1, 19
2, 19
3, 19
4, 19
5, 19
6, 19
1, 21
2, 21
3, 21
4, 21
5, 21
6, 21
1, 23
2, 23
3, 23
4, 23
5, 23
6, 23
7, 23
1, 25
2, 25
3, 25
4, 25
5, 25
6, 25
7, 25
8, 25
1, 27
2, 27
3, 27
4, 27
5, 27
6, 27
7, 27
8, 27
1, 29
2, 29
3, 29
4, 29
5, 29
6, 29
7, 29
1, 31
2, 31
3, 31
4, 31
5, 31
6, 31
1, 33
2, 33
3, 33
4, 33
5, 33
6, 33
7, 33
1, 35
2, 35
3, 35
4, 35
5, 35
6, 35
7, 35
1, 37
2, 37
3, 37
4, 37
5, 37
6, 37
7, 37
1, 39
2, 39
3, 39
4, 39
5, 39
6, 39
7, 39
1, 41
2, 41
3, 41
4, 41
5, 41
6, 41
7, 41
1, 43
2, 43
3, 43
4, 43
5, 43
6, 43
7, 43
8, 43
9, 43
1, 45
2, 45
3, 45
4, 45
5, 45
6, 45
7, 45
8, 45
9, 45
10, 45
1, 47
2, 47
3, 47
4, 47
5, 47
6, 47
7, 47
8, 47
9, 47
10, 47
1, 49
2, 49
3, 49
4, 49
5, 49
6, 49
7, 49
8, 49
9, 49
10, 49
1, 51
2, 51
3, 51
4, 51
5, 51
6, 51
7, 51
8, 51
9, 51
1, 53
2, 53
3, 53
4, 53
5, 53
6, 53
7, 53
8, 53
9, 53
1, 55
2, 55
3, 55
4, 55
5, 55
6, 55
7, 55
8, 55
9, 55
1, 57
2, 57
3, 57
4, 57
5, 57
6, 57
7, 57
8, 57
9, 57
1, 59
2, 59
3, 59
4, 59
5, 59
6, 59
7, 59
8, 59
9, 59
10, 59
1, 61
2, 61
3, 61
4, 61
5, 61
6, 61
7, 61
8, 61
9, 61
10, 61
1, 63
2, 63
3, 63
4, 63
5, 63
6, 63
7, 63
8, 63
9, 63
10, 63
1, 65
2, 65
3, 65
4, 65
5, 65
6, 65
7, 65
8, 65
9, 65
1, 67
2, 67
3, 67
4, 67
5, 67
6, 67
7, 67
8, 67
9, 67
1, 69
2, 69
3, 69
4, 69
5, 69
6, 69
7, 69
8, 69
9, 69
10, 69
11, 69
1, 71
2, 71
3, 71
4, 71
5, 71
6, 71
7, 71
8, 71
9, 71
10, 71
1, 3
2, 3
3, 3
4, 3
5, 3
6, 3
1, 5
2, 5
3, 5
4, 5
5, 5
6, 5
1, 7
2, 7
3, 7
4, 7
5, 7
6, 7
1, 9
2, 9
3, 9
4, 9
5, 9
6, 9
1, 11
2, 11
3, 11
4, 11
5, 11
6, 11
1, 13
2, 13
3, 13
4, 13
5, 13
6, 13
1, 15
2, 15
3, 15
4, 15
5, 15
6, 15
7, 15
1, 17
2, 17
3, 17
4, 17
5, 17
6, 17
1, 19
2, 19
3, 19
4, 19
5, 19
6, 19
1, 21
2, 21
3, 21
4, 21
5, 21
6, 21
1, 23
2, 23
3, 23
4, 23
5, 23
6, 23
1, 25
2, 25
3, 25
4, 25
5, 25
6, 25
1, 27
2, 27
3, 27
4, 27
5, 27
6, 27
7, 27
1, 29
2, 29
3, 29
4, 29
5, 29
6, 29
7, 29
8, 29
1, 31
2, 31
3, 31
4, 31
5, 31
6, 31
7, 31
1, 33
2, 33
3, 33
4, 33
5, 33
6, 33
7, 33
1, 35
2, 35
3, 35
4, 35
5, 35
6, 35
7, 35
1, 37
2, 37
3, 37
4, 37
5, 37
6, 37
7, 37
8, 37
1, 39
2, 39
3, 39
4, 39
5, 39
6, 39
7, 39
8, 39
1, 41
2, 41
3, 41
4, 41
5, 41
6, 41
7, 41
8, 41
1, 43
2, 43
3, 43
4, 43
5, 43
6, 43
7, 43
8, 43
1, 45
2, 45
3, 45
4, 45
5, 45
6, 45
7, 45
8, 45
1, 47
2, 47
3, 47
4, 47
5, 47
6, 47
7, 47
8, 47
9, 47
1, 49
2, 49
3, 49
4, 49
5, 49
6, 49
7, 49
8, 49
9, 49
10, 49
1, 51
2, 51
3, 51
4, 51
5, 51
6, 51
7, 51
8, 51
9, 51
1, 53
2, 53
3, 53
4, 53
5, 53
6, 53
7, 53
8, 53
9, 53
10, 53
1, 55
2, 55
3, 55
4, 55
5, 55
6, 55
7, 55
8, 55
9, 55
1, 57
2, 57
3, 57
4, 57
5, 57
6, 57
7, 57
8, 57
9, 57
10, 57
1, 59
2, 59
3, 59
4, 59
5, 59
6, 59
7, 59
8, 59
9, 59
10, 59
1, 61
2, 61
3, 61
4, 61
5, 61
6, 61
7, 61
8, 61
9, 61
1, 63
2, 63
3, 63
4, 63
5, 63
6, 63
7, 63
8, 63
9, 63
10, 63
1, 65
2, 65
3, 65
4, 65
5, 65
6, 65
7, 65
8, 65
9, 65
1, 67
2, 67
3, 67
4, 67
5, 67
6, 67
7, 67
8, 67
9, 67
10, 67
11, 67
1, 2
2, 2
3, 2
4, 2
5, 2
6, 2
1, 4
2, 4
3, 4
4, 4
5, 4
6, 4
7, 4
1, 6
2, 6
3, 6
4, 6
5, 6
6, 6
7, 6
1, 8
2, 8
3, 8
4, 8
5, 8
6, 8
1, 10
2, 10
3, 10
4, 10
5, 10
6, 10
7, 10
1, 12
2, 12
3, 12
4, 12
5, 12
6, 12
1, 14
2, 14
3, 14
4, 14
5, 14
6, 14
1, 16
2, 16
3, 16
4, 16
5, 16
1, 18
2, 18
3, 18
4, 18
5, 18
1, 20
2, 20
3, 20
4, 20
5, 20
6, 20
1, 22
2, 22
3, 22
4, 22
5, 22
6, 22
1, 24
2, 24
3, 24
4, 24
5, 24
6, 24
1, 26
2, 26
3, 26
4, 26
5, 26
6, 26
1, 28
2, 28
3, 28
4, 28
5, 28
6, 28
1, 30
2, 30
3, 30
4, 30
5, 30
6, 30
1, 32
2, 32
3, 32
4, 32
5, 32
6, 32
1, 34
2, 34
3, 34
4, 34
5, 34
6, 34
7, 34
1, 36
2, 36
3, 36
4, 36
5, 36
6, 36
7, 36
1, 38
2, 38
3, 38
4, 38
5, 38
6, 38
7, 38
8, 38
1, 40
2, 40
3, 40
4, 40
5, 40
6, 40
7, 40
8, 40
9, 40
1, 42
2, 42
3, 42
4, 42
5, 42
6, 42
7, 42
8, 42
9, 42
1, 44
2, 44
3, 44
4, 44
5, 44
6, 44
7, 44
8, 44
9, 44
1, 46
2, 46
3, 46
4, 46
5, 46
6, 46
7, 46
8, 46
9, 46
1, 48
2, 48
3, 48
4, 48
5, 48
6, 48
7, 48
8, 48
9, 48
1, 50
2, 50
3, 50
4, 50
5, 50
6, 50
7, 50
8, 50
9, 50
10, 50
1, 52
2, 52
3, 52
4, 52
5, 52
6, 52
7, 52
8, 52
9, 52
10, 52
1, 54
2, 54
3, 54
4, 54
5, 54
6, 54
7, 54
8, 54
9, 54
10, 54
11, 54
1, 56
2, 56
3, 56
4, 56
5, 56
6, 56
7, 56
8, 56
9, 56
10, 56
1, 58
2, 58
3, 58
4, 58
5, 58
6, 58
7, 58
8, 58
9, 58
10, 58
1, 60
2, 60
3, 60
4, 60
5, 60
6, 60
7, 60
8, 60
9, 60
10, 60
11, 60
1, 2
2, 2
3, 2
4, 2
5, 2
6, 2
7, 2
1, 4
2, 4
3, 4
4, 4
5, 4
6, 4
1, 6
2, 6
3, 6
4, 6
5, 6
6, 6
1, 8
2, 8
3, 8
4, 8
5, 8
6, 8
1, 10
2, 10
3, 10
4, 10
5, 10
6, 10
1, 12
2, 12
3, 12
4, 12
5, 12
6, 12
1, 14
2, 14
3, 14
4, 14
5, 14
6, 14
1, 16
2, 16
3, 16
4, 16
5, 16
1, 18
2, 18
3, 18
4, 18
5, 18
6, 18
1, 20
2, 20
3, 20
4, 20
5, 20
6, 20
7, 20
1, 22
2, 22
3, 22
4, 22
5, 22
6, 22
1, 24
2, 24
3, 24
4, 24
5, 24
6, 24
1, 26
2, 26
3, 26
4, 26
5, 26
6, 26
1, 28
2, 28
3, 28
4, 28
5, 28
6, 28
1, 30
2, 30
3, 30
4, 30
5, 30
6, 30
1, 32
2, 32
3, 32
4, 32
5, 32
6, 32
1, 34
2, 34
3, 34
4, 34
5, 34
6, 34
1, 36
2, 36
3, 36
4, 36
5, 36
6, 36
1, 38
2, 38
3, 38
4, 38
5, 38
6, 38
1, 40
2, 40
3, 40
4, 40
5, 40
6, 40
7, 40
8, 40
1, 42
2, 42
3, 42
4, 42
5, 42
6, 42
7, 42
1, 44
2, 44
3, 44
4, 44
5, 44
6, 44
7, 44
8, 44
1, 46
2, 46
3, 46
4, 46
5, 46
6, 46
7, 46
8, 46
1, 48
2, 48
3, 48
4, 48
5, 48
6, 48
7, 48
8, 48
9, 48
1, 50
2, 50
3, 50
4, 50
5, 50
6, 50
7, 50
1, 52
2, 52
3, 52
4, 52
5, 52
6, 52
7, 52
1, 54
2, 54
3, 54
4, 54
5, 54
6, 54
7, 54
8, 54
1, 56
2, 56
3, 56
4, 56
5, 56
6, 56
7, 56
1, 58
2, 58
3, 58
4, 58
5, 58
6, 58
7, 58
8, 58
9, 58
1, 60
2, 60
3, 60
4, 60
5, 60
6, 60
7, 60
8, 60
1, 62
2, 62
3, 62
4, 62
5, 62
6, 62
7, 62
8, 62
9, 62
1, 64
2, 64
3, 64
4, 64
5, 64
6, 64
7, 64
8, 64
9, 64
1, 66
2, 66
3, 66
4, 66
5, 66
6, 66
7, 66
8, 66
9, 66
10, 66
1, 68
2, 68
3, 68
4, 68
5, 68
6, 68
7, 68
1, 70
2, 70
3, 70
4, 70
5, 70
6, 70
7, 70
8, 70
1, 72
2, 72
3, 72
4, 72
5, 72
6, 72
7, 72
8, 72
9, 72
10, 72
11, 72
1, 3
2, 3
3, 3
4, 3
5, 3
6, 3
1, 5
2, 5
3, 5
4, 5
5, 5
6, 5
1, 7
2, 7
3, 7
4, 7
5, 7
6, 7
1, 9
2, 9
3, 9
4, 9
5, 9
6, 9
1, 11
2, 11
3, 11
4, 11
5, 11
6, 11
1, 13
2, 13
3, 13
4, 13
5, 13
6, 13
1, 15
2, 15
3, 15
4, 15
5, 15
6, 15
1, 17
2, 17
3, 17
4, 17
5, 17
6, 17
1, 19
2, 19
3, 19
4, 19
5, 19
6, 19
1, 21
2, 21
3, 21
4, 21
5, 21
6, 21
1, 23
2, 23
3, 23
4, 23
5, 23
6, 23
1, 25
2, 25
3, 25
4, 25
5, 25
6, 25
1, 27
2, 27
3, 27
4, 27
5, 27
6, 27
1, 29
2, 29
3, 29
4, 29
1, 31
2, 31
3, 31
4, 31
5, 31
6, 31
1, 33
2, 33
3, 33
4, 33
5, 33
6, 33
1, 35
2, 35
3, 35
4, 35
5, 35
6, 35
1, 37
2, 37
3, 37
4, 37
5, 37
6, 37
7, 37
8, 37
1, 39
2, 39
3, 39
4, 39
5, 39
6, 39
7, 39
8, 39
1, 41
2, 41
3, 41
4, 41
5, 41
6, 41
7, 41
8, 41
1, 43
2, 43
3, 43
4, 43
5, 43
6, 43
7, 43
8, 43
9, 43
1, 45
2, 45
3, 45
4, 45
5, 45
6, 45
7, 45
1, 47
2, 47
3, 47
4, 47
5, 47
6, 47
7, 47
8, 47
1, 49
2, 49
3, 49
4, 49
5, 49
6, 49
7, 49
8, 49
1, 51
2, 51
3, 51
4, 51
5, 51
6, 51
7, 51
8, 51
1, 53
2, 53
3, 53
4, 53
5, 53
6, 53
7, 53
8, 53
1, 55
2, 55
3, 55
4, 55
5, 55
6, 55
7, 55
8, 55
1, 57
2, 57
3, 57
4, 57
5, 57
6, 57
7, 57
8, 57
1, 59
2, 59
3, 59
4, 59
5, 59
6, 59
7, 59
8, 59
9, 59
1, 61
2, 61
3, 61
4, 61
5, 61
6, 61
7, 61
8, 61
9, 61
10, 61
1, 63
2, 63
3, 63
4, 63
5, 63
6, 63
7, 63
8, 63
9, 63
1, 65
2, 65
3, 65
4, 65
5, 65
6, 65
7, 65
8, 65
9, 65
10, 65
1, 67
2, 67
3, 67
4, 67
5, 67
6, 67
7, 67
8, 67
9, 67
10, 67
1, 69
2, 69
3, 69
4, 69
5, 69
6, 69
7, 69
8, 69
9, 69
10, 69
11, 69
1, 3
2, 3
3, 3
4, 3
5, 3
6, 3
1, 5
2, 5
3, 5
4, 5
5, 5
6, 5
1, 7
2, 7
3, 7
4, 7
5, 7
6, 7
1, 9
2, 9
3, 9
4, 9
5, 9
6, 9
1, 11
2, 11
3, 11
4, 11
5, 11
1, 13
2, 13
3, 13
4, 13
5, 13
1, 15
2, 15
3, 15
4, 15
5, 15
1, 17
2, 17
3, 17
4, 17
5, 17
6, 17
1, 19
2, 19
3, 19
4, 19
5, 19
6, 19
1, 21
2, 21
3, 21
4, 21
5, 21
6, 21
1, 23
2, 23
3, 23
4, 23
5, 23
6, 23
7, 23
1, 25
2, 25
3, 25
4, 25
5, 25
6, 25
1, 27
2, 27
3, 27
4, 27
5, 27
6, 27
1, 29
2, 29
3, 29
4, 29
5, 29
6, 29
1, 31
2, 31
3, 31
4, 31
5, 31
6, 31
7, 31
1, 33
2, 33
3, 33
4, 33
5, 33
6, 33
7, 33
1, 35
2, 35
3, 35
4, 35
5, 35
6, 35
7, 35
8, 35
1, 37
2, 37
3, 37
4, 37
5, 37
6, 37
7, 37
8, 37
1, 39
2, 39
3, 39
4, 39
5, 39
6, 39
7, 39
8, 39
9, 39
1, 41
2, 41
3, 41
4, 41
5, 41
6, 41
7, 41
8, 41
1, 43
2, 43
3, 43
4, 43
5, 43
6, 43
7, 43
8, 43
1, 45
2, 45
3, 45
4, 45
5, 45
6, 45
7, 45
8, 45
1, 47
2, 47
3, 47
4, 47
5, 47
6, 47
7, 47
8, 47
9, 47
1, 49
2, 49
3, 49
4, 49
5, 49
6, 49
7, 49
8, 49
1, 51
2, 51
3, 51
4, 51
5, 51
6, 51
7, 51
8, 51
9, 51
1, 53
2, 53
3, 53
4, 53
5, 53
6, 53
7, 53
8, 53
9, 53
10, 53
1, 55
2, 55
3, 55
4, 55
5, 55
6, 55
7, 55
8, 55
9, 55
1, 57
2, 57
3, 57
4, 57
5, 57
6, 57
7, 57
8, 57
9, 57
10, 57
1, 59
2, 59
3, 59
4, 59
5, 59
6, 59
7, 59
8, 59
9, 59
10, 59
1, 61
2, 61
3, 61
